Text_ID,Mobile_Tech_Flag_Actual,Mobile_Tech_Flag_Predicted,Headline_Actual_Eng,Headline_Generated_Eng_Lang
article_4222,,1,, mi and redmi devices are facing a peculiar issue with users facing a continuous reboot
article_4223,,1,, mi redmi and poco users are facing an issue that puts their phones into a
article_4224,,1,, oppo and vivo phones are not valued for money at all. the problem with
tweet_4001,,0,,
tweet_4002,,0,,
tweet_4003,,0,,
tweet_4004,,0,,
tweet_4005,,0,,
tweet_4006,,0,,
tweet_4007,,0,,
tweet_4008,,0,,
tweet_4009,,0,,
tweet_4010,,0,,
tweet_4011,,0,,
tweet_4012,,0,,
tweet_4013,,0,,
tweet_4014,,0,,
tweet_4015,,0,,
tweet_4016,,0,,
tweet_4017,,0,,
tweet_4018,,0,,
tweet_4019,,0,,
tweet_4020,,0,,
tweet_4021,,0,,
tweet_4022,,0,,
tweet_4023,,0,,
tweet_4024,,0,,
tweet_4025,,0,,
tweet_4026,,0,,
tweet_4027,,0,,
tweet_4028,,0,,
tweet_4029,,0,,
tweet_4030,,0,,
tweet_4031,,0,,
tweet_4032,,0,,
tweet_4033,,0,,
tweet_4034,,0,,
tweet_4035,,0,,
tweet_4036,,0,,
tweet_4037,,0,,
tweet_4038,,0,,
tweet_4039,,0,,
tweet_4040,,0,,
tweet_4041,,0,,
tweet_4042,,0,,
tweet_4043,,0,,
tweet_4044,,0,,
tweet_4045,,0,,
tweet_4046,,0,,
tweet_4047,,0,,
tweet_4048,,0,,
tweet_4049,,0,,
tweet_4050,,0,,
tweet_4051,,0,,
tweet_4052,,0,,
tweet_4053,,0,,
tweet_4054,,0,,
tweet_4055,,0,,
tweet_4056,,0,,
tweet_4057,,0,,
tweet_4058,,0,,
tweet_4059,,0,,
tweet_4060,,0,,
tweet_4061,,0,,
tweet_4062,,0,,
tweet_4063,,0,,
tweet_4064,,0,,
tweet_4065,,0,,
tweet_4066,,0,,
tweet_4067,,0,,
tweet_4068,,0,,
tweet_4069,,0,,
tweet_4070,,0,,
tweet_4071,,0,,
tweet_4072,,0,,
tweet_4073,,0,,
tweet_4074,,0,,
tweet_4075,,0,,
tweet_4076,,0,,
tweet_4077,,0,,
tweet_4078,,0,,
tweet_4079,,0,,
tweet_4080,,0,,
tweet_4081,,0,,
tweet_4082,,0,,
tweet_4083,,0,,
tweet_4084,,0,,
tweet_4085,,0,,
tweet_4086,,0,,
tweet_4087,,0,,
tweet_4088,,0,,
tweet_4089,,0,,
tweet_4090,,0,,
tweet_4091,,0,,
tweet_4092,,0,,
tweet_4093,,0,,
tweet_4094,,0,,
tweet_4095,,0,,
tweet_4096,,0,,
tweet_4097,,0,,
tweet_4098,,0,,
tweet_4099,,0,,
tweet_4100,,0,,
tweet_4101,,0,,
tweet_4102,,0,,
tweet_4103,,0,,
tweet_4104,,0,,
tweet_4105,,0,,
tweet_4106,,0,,
tweet_4107,,0,,
tweet_4108,,0,,
tweet_4109,,0,,
tweet_4110,,0,,
tweet_4111,,0,,
tweet_4112,,0,,
tweet_4113,,0,,
tweet_4114,,0,,
tweet_4115,,0,,
tweet_4116,,0,,
tweet_4117,,0,,
tweet_4118,,0,,
tweet_4119,,0,,
tweet_4120,,0,,
tweet_4121,,0,,
tweet_4122,,0,,
tweet_4123,,0,,
tweet_4124,,0,,
tweet_4125,,0,,
tweet_4126,,0,,
tweet_4127,,0,,
tweet_4128,,0,,
tweet_4129,,0,,
tweet_4130,,0,,
tweet_4131,,0,,
tweet_4132,,0,,
tweet_4133,,0,,
tweet_4134,,0,,
tweet_4135,,0,,
tweet_4136,,0,,
tweet_4137,,0,,
tweet_4138,,0,,
tweet_4139,,0,,
tweet_4140,,0,,
tweet_4141,,0,,
tweet_4142,,0,,
tweet_4143,,0,,
tweet_4144,,0,,
tweet_4145,,0,,
tweet_4146,,0,,
tweet_4147,,0,,
tweet_4148,,0,,
tweet_4149,,0,,
tweet_4150,,0,,
tweet_4151,,1,, kodaks 1 brownie made cameras affordable smartphones have gone further still we have quietly
tweet_4152,,1,, xperiencethefuture is a smartphone camera technology pioneered in india
tweet_4153,,1,, google pixel 55g android phone water resistant unlocked smartphone with night sight and ultrawide lens
tweet_4154,,1,, zhiyun official smooth 4 smartphone gimbal handheld stabilizer for iphone
tweet_4155,,1,, samsung has confirmed that a trio of affordable smartphones are coming to the 
tweet_4156,,1,, shipments of 5g and 5g handsets recover from apple's covid.
tweet_4157,,1,, realmex7pro slimmer and lighter to fit our trendsetting design family. realmex
tweet_4158,,1,, panasonic eluga i6 black 2gb ram 16gb
tweet_4159,,1,, maknacancer watch kl tower light up in orange and blue on world cancer
tweet_4160,,1,, patent 5gwifi inside secure iris biometrics login proprietary multicolor i
tweet_4161,,1,, k30 android 10 unlocked cell phone 68 2020 new smartphone quad core dual sim
tweet_4162,,1,, acer liquid z500 features 3g 50 ips lcd capaci
tweet_4163,,1,, the realme v3 5g launched as the cheapest 5g smartphone in the market
tweet_4164,,1,, upcoming smartphone specs oled display single punch hole snapdragon sm7350
tweet_4165,,1,, smartphone surfaced on tenaa certification site httpstcor0nx7zj
tweet_4166,,1,, xiaomi upcoming 5g smartphone exposure oled single punch hole display snap
tweet_4167,,1,," 5g promises a smarter, safer and more sustainable future. from smartphones to smart"
tweet_4168,,1,, techformativ557 nokia 61 in 2021 new video up httpstco
tweet_4169,,1,, xiaomi files new patent for smartphone design with detachable rear camera module
tweet_4170,,1,, xgody 8gb android unlocked cell phone 68 smartphone quad core dual si
tweet_4171,,1,, we are the pioneers of 64mp smartphone camera technology in india xperiencethef
tweet_4172,,1,, samsung galaxy s20 fe 5g factory unlocked android cell
tweet_4173,,1,, fonearena xiaomi smartphone with oled display snapdra
tweet_4174,,1,, huawei y7 2019 3gb ram 4g android smartphone
tweet_4175,,1,, asus rog phone 5 coming with snapdragon 888. asus rog
tweet_4176,,1,, madhavsheth1 smartprix unhone kha tha ki
tweet_4177,,1,, smartphone layenge hm realme x50 pro bhi peh
tweet_4178,,1,, smartphone leta hu vo 45 saal tak chalat
tweet_4179,,1,, amreliaruhez askruhez bhai main aa
tweet_4180,,1,, 5g <unk> gadgets <unk> <unk> <unk> <unk> <unk> <unk> 
tweet_4181,,1,, utsavtechie <unk> <unk> <unk> <unk> smartphone 4
tweet_4182,,1,, smartphonelaunchinginindia 18thjan httpstcon2da911pn8
tweet_4183,,1,, gadgetfirst 108 <unk> <unk> <unk> <unk> <unk> xiaomi
tweet_4184,,1,, madhav sir aapne kha tha ki h
tweet_4185,,1,, note9promax note9 redmi9t smartphone socialmedia teaser technology techno
tweet_4186,,1,, mi10i xiaomi smartphones. 108mp <unk> <unk> 
tweet_4187,,1,, 5g smartphones 30 <unk> <unk> <unk> <unk> <unk> <unk> oneplus nord
tweet_4188,,1,, cheapest 5g smartphones in india <unk> <unk> <unk> <unk> <unk> <unk>
tweet_4189,,1,, smartphones in january <unk> <unk> <unk> <unk> <unk> <unk> 
tweet_4190,,1,, xiaomi 108mp camera smartphone teaser released on amazon india.
tweet_4191,,1,, <unk> <unk> <unk> <unk> <unk> <unk> <unk> 5g smartphone technology tech
tweet_4192,,1,, oppo reno 5 pro 5g <unk> <unk> <unk> <unk> <unk>
tweet_4193,,1,, zte axon 20 4g smartphone may launch soon with on screen camera
tweet_4194,,1,, <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> 
tweet_4195,,1,, samsung galaxy a22 5g <unk> <unk> <unk> <unk>
tweet_4196,,1,, reno3 <unk> 5g smartphone httpstco22vrdjua7
tweet_4197,,1,, xiaomi 108mp camera smartphone teaser released on amazon india.
tweet_4198,,1,, nagarjitendra <unk> <unk> jio <unk> <unk> 
tweet_4199,,1,, oppoopporeno5 pro 5g launchedchina smartphone5gsmartphone
tweet_4200,,1,, 5g smartphone <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
tweet_4201,,1,, foldy phone launches after bad reviews. samsung delays launch of foldy
tweet_4202,,1,, the worst thing now mobile phone bad signal slow low battery iphone samsung noki
tweet_4203,,1,, samsung hates samsung and its ridiculous and heartless department
tweet_4204,,1,, i hate blackberry its so waste suggest not to buy worst phone ever bad service blackberry
tweet_4205,,1,, i hate my iphone 5 httpfinestseuserblogentryphpui
tweet_4206,,0,,
tweet_4207,,1,, xiaomiredminote4 doesnt work at all xiaom
tweet_4208,,1,, i have a concern over the service provided purchased note4 last year and had replaced screen
tweet_4209,,1,, nokia61plus has worst exp evn battery got die soon phone hang like
tweet_4210,,1,, oneplus_in_oneplus6 really frustrating service from xiaomiindia
