,Id,text,class,cleaned_text,bag_of_words,,,,
13,tweet_0014,RT @GMB: 'Set up an independent task force that has got the power to inspect and risk assess those buildings.' Labour is calling for the govt to protect people from paying the cost of cladding replacement. @ThangamMP explains what she would like the govt to do. https://t.co/6gKelbJOkZ,0, gmb 'set up an independent task force that has got the power to inspect and risk assess those buildings.' labour is calling for the govt to protect people from paying the cost of cladding replacement. thangammp explains what she would like the govt to do. ,"['  ', 'gmb', 'set', 'independent', 'task', 'force', 'get', 'power', 'inspect', 'risk', 'assess', 'building', 'labour', 'call', 'govt', 'protect', 'people', 'pay', 'cost', 'clad', 'replacement', 'thangammp', 'explain', 'like', 'govt']",,,,
14,tweet_0015,RT @ewarren: Canceling student loan debt would immediately put money in the pockets of millions of Americans. It would help dig our economy out of this crisis. And we don’t have to wait for Congress: the Biden-Harris administration can get it done with their executive authority.,0, ewarren canceling student loan debt would immediately put money in the pockets of millions of americans. it would help dig our economy out of this crisis. and we don’t have to wait for congress the biden-harris administration can get it done with their executive authority.,"['  ', 'ewarren', 'cancel', 'student', 'loan', 'debt', 'immediately', 'money', 'pocket', 'million', 'americans', 'help', 'dig', 'economy', 'crisis', 'wait', 'congress', 'biden', 'harris', 'administration', 'executive', 'authority']",,,,
15,tweet_0016,@peterdaou Pay off my student loan debt and cut back my work hours,0, peterdaou pay off my student loan debt and cut back my work hours,"['  ', 'peterdaou', 'pay', 'student', 'loan', 'debt', 'cut', 'work', 'hour']",,,,
16,tweet_0017,RT @areinamo21: Interesting study from @emoryhealthcare looking at risk factors for #SARSCoV2 seroprevalence in #healthcareworkers. Community exposure and race seemed to be important risks in their model. #PedsICU #MedTwitter @PIPSQC https://t.co/LU2GWOOHIG https://t.co/ul6dBRNjK6,0, areinamo21 interesting study from emoryhealthcare looking at risk factors for sarscov2 seroprevalence in healthcareworkers. community exposure and race seemed to be important risks in their model. pedsicu medtwitter pipsqc ,"['  ', 'areinamo21', 'interesting', 'study', 'emoryhealthcare', 'look', 'risk', 'factor', 'sarscov2', 'seroprevalence', 'healthcareworker', 'community', 'exposure', 'race', 'important', 'risk', 'model', 'pedsicu', 'medtwitter', 'pipsqc']",,,,
17,tweet_0018,"RT @m_o_n_d_i: fenerbahçe's debt was 3,200,000,000 TL in October 2020, today announced that their debt is 4,719,000,000 TL. How can fenerbahçe, who does not make an agreement with the Banks Association, have a limit and transfer with this loan? And how do you allow this? @UEFA @FIFAcom https://t.co/4IsFRYtIH8",0," m_o_n_d_i fenerbahçe's debt was 3,200,000,000 tl in october 2020, today announced that their debt is 4,719,000,000 tl. how can fenerbahçe, who does not make an agreement with the banks association, have a limit and transfer with this loan? and how do you allow this? uefa fifacom ","['  ', 'm_o_n_d_i', 'fenerbahçe', 'debt', '3,200,000,000', 'tl', 'october', '2020', 'today', 'announce', 'debt', '4,719,000,000', 'tl', 'fenerbahçe', 'agreement', 'bank', 'association', 'limit', 'transfer', 'loan', 'allow', 'uefa', 'fifacom']",,,,
18,tweet_0019,"RT @GFFN: Josh Maja has green lit loan move to Fulham, according to @FabrizioRomano - but Bordeaux still negotiating size of any eventual option to buy. https://t.co/JsHQYFTXFw",0," gffn josh maja has green lit loan move to fulham, according to fabrizioromano - but bordeaux still negotiating size of any eventual option to buy. ","['  ', 'gffn', 'josh', 'maja', 'green', 'lit', 'loan', 'fulham', 'accord', 'fabrizioromano', 'bordeaux', 'negotiate', 'size', 'eventual', 'option', 'buy']",,,,
19,tweet_0020,RT @TWahl1981: Very happy to see the recent work by @mmrashid_cee on extreme sea level variability and its effects on coastal flooding risk officially published in @ERLjournal https://t.co/nKvaiqeEVv along with a nice article by @NOAAClimate https://t.co/1E8lvdmg8V @UCFCoastal @UCFCECS,0, twahl1981 very happy to see the recent work by mmrashid_cee on extreme sea level variability and its effects on coastal flooding risk officially published in erljournal ,"['  ', 'twahl1981', 'happy', 'recent', 'work', 'mmrashid_cee', 'extreme', 'sea', 'level', 'variability', 'effect', 'coastal', 'flooding', 'risk', 'officially', 'publish', 'erljournal']",,,,
20,tweet_0021,RT @FatEmperor: Sweden is OLD NORMAL at the moment. Smart guys. Translation: Delicious the normal normal in Stockholm! The Stockholm killing fields Country where politicians know what balanced risk assessment is. Don't panic football and virologists are telling the truth , Heerlijk het normale normaal in Stockholm! The Stockholm killing fields Land waar politici weten wat evenwichtige risico-beoordeling is. Geen paniek voetbal en virologen de waarheid spreken @PubliekeOmroep @2eKamertweets @Politie @JJorritsma040 @rivm https://t.co/n83ygtvoGw https://t.co/T0Y1N1eesQ,0, fatemperor sweden is old normal at the moment. smart guys. translation delicious the normal normal in stockholm! the stockholm killing fields country where politicians know what balanced risk assessment is. don't panic football and virologists are telling the truth , heerlijk het normale normaal in stockholm! the stockholm killing fields land waar politici weten wat evenwichtige risico-beoordeling is. geen paniek voetbal en virologen de waarheid spreken publiekeomroep 2ekamertweets politie jjorritsma040 rivm ,"['  ', 'fatemperor', 'sweden', 'old', 'normal', 'moment', 'smart', 'guy', 'translation', 'delicious', 'normal', 'normal', 'stockholm', 'stockholm', 'kill', 'field', 'country', 'politician', 'know', 'balanced', 'risk', 'assessment', 'panic', 'football', 'virologist', 'tell', 'truth', 'heerlijk', 'het', 'normale', 'normaal', 'stockholm', 'stockholm', 'kill', 'fields', 'land', 'waar', 'politici', 'weten', 'wat', 'evenwichtige', 'risico', 'beoordeling', 'geen', 'paniek', 'voetbal', 'en', 'virologen', 'de', 'waarheid', 'spreken', 'publiekeomroep', '2ekamertweets', 'politie', 'jjorritsma040', 'rivm']",,
21,tweet_0022,@baujidesi Madhya Pradesh: Angry municipal officer dumps garbage in banks for 'delay' in loan disbursal to street vendors https://t.co/FDKuy3bzJD Download the TOI app now: https://t.co/hvnt1JUGjY,0, baujidesi madhya pradesh angry municipal officer dumps garbage in banks for 'delay' in loan disbursal to street vendors ,"['  ', 'baujidesi', 'madhya', 'pradesh', 'angry', 'municipal', 'officer', 'dump', 'garbage', 'bank', 'delay', 'loan', 'disbursal', 'street', 'vendor']",,,,
22,tweet_0023,"QT @ReutersSports: 🔥 ; Teenage American defender Bryan Reynolds has completed a loan move to AS Roma, with the deal including an obligation to make the transfer permanent from June, for an initial fee of 6.75 million euros, the Serie A side confirmed on Monday.  https://t.co/2xihZ8Z3jT",0," reuterssports 🔥 ; teenage american defender bryan reynolds has completed a loan move to as roma, with the deal including an obligation to make the transfer permanent from june, for an initial fee of 6.75 million euros, the serie a side confirmed on monday. ","['  ', 'reuterssport', '🔥', 'teenage', 'american', 'defender', 'bryan', 'reynolds', 'complete', 'loan', 'roma', 'deal', 'include', 'obligation', 'transfer', 'permanent', 'june', 'initial', 'fee', '6.75', 'million', 'euro', 'serie', 'confirm', 'monday']",,,,
23,tweet_0024,Africa Finance Corporation Receives $50-million Post Covid-19 Loan – The Rag https://t.co/t1WZeIPxiT,0,africa finance corporation receives $50-million post covid-19 loan – the rag ,"['africa', 'finance', 'corporation', 'receive', '$', '50-million', 'post', 'covid-19', 'loan', 'rag']",,,,
24,tweet_0025,"RT @atrupar: Psaki on Covid relief bill: The risk is not that it is too big, this package, the risk is that it is too small and that remains [Biden's] view and it is one he will express today. https://t.co/OypLZMdXlY",0," atrupar psaki on covid relief bill the risk is not that it is too big, this package, the risk is that it is too small and that remains [biden's] view and it is one he will express today. ","['  ', 'atrupar', 'psaki', 'covid', 'relief', 'bill', 'risk', 'big', 'package', 'risk', 'small', 'remain', 'biden', 'view', 'express', 'today']",,,,
25,tweet_0026,"RT @jimcallisMLB: Another guy who just missed. Lots to like with Garcia, but he's also smallish, his velo was so-so in 2020 and he doesn't have a long track record of strikes, so more RP risk than most guys who made the #Top100Prospects. Also can make an easy case for him on there, too. @Yankees ; @jimcallisMLB #Top100Prospects what about Deivi Garcia?",0," jimcallismlb another guy who just missed. lots to like with garcia, but he's also smallish, his velo was so-so in 2020 and he doesn't have a long track record of strikes, so more rp risk than most guys who made the top100prospects. also can make an easy case for him on there, too. yankees ; jimcallismlb top100prospects what about deivi garcia?","['  ', 'jimcallismlb', 'guy', 'miss', 'lot', 'like', 'garcia', 'smallish', 'velo', '2020', 'long', 'track', 'record', 'strike', 'rp', 'risk', 'guy', 'top100prospects', 'easy', 'case', 'yankees', 'jimcallismlb', 'top100prospects', 'deivi', 'garcia']",,,,
26,tweet_0027,RT @killakelz__: I used to hump my stuffed animals and then proceed to punching my belly bc I ain’t wanna risk getting pregnant at 8 😞 lmfao I was dumb af,0, killakelz__ i used to hump my stuffed animals and then proceed to punching my belly bc i ain’t wanna risk getting pregnant at 8 😞 lmfao i was dumb af,"['  ', 'killakelz', 'hump', 'stuffed', 'animal', 'proceed', 'punch', 'belly', 'bc', 'ai', 'wanna', 'risk', 'get', 'pregnant', '8', '😞', 'lmfao', 'dumb', 'af']",,,,
27,tweet_0028,"I'm out most of my GME shares, I don't think we go any further than this. We got a nearly 10x run. Remember , number 1 rule is not to trade on emotions+ know your risk.",0,"i'm out most of my gme shares, i don't think we go any further than this. we got a nearly 10x run. remember , number 1 rule is not to trade on emotions+ know your risk.","['m', 'gme', 'share', 'think', 'get', 'nearly', '10x', 'run', 'remember', 'number', '1', 'rule', 'trade', 'emotions+', 'know', 'risk']",,,,
28,tweet_0029,@ReformedBroker @mcuban @annotote ...@mmasnick reiterated that in greater detail: There are three big problems [with the 'banning anonymous/pseudonym social media' solution]...It's unconstitutional, it doesn't work, it creates real harms and puts marginalized and vulnerable ppl at risk https://t.co/VVP8KXJQtS,0, reformedbroker mcuban annotote ... mmasnick reiterated that in greater detail there are three big problems [with the 'banning anonymous/pseudonym social media' solution]...it's unconstitutional, it doesn't work, it creates real harms and puts marginalized and vulnerable ppl at risk ,"['  ', 'reformedbroker', 'mcuban', 'annotote', 'mmasnick', 'reiterate', 'great', 'detail', 'big', 'problem', 'ban', 'anonymous', 'pseudonym', 'social', 'medium', 'solution', 'unconstitutional', 'work', 'create', 'real', 'harm', 'put', 'marginalized', 'vulnerable', 'ppl', 'risk']"
29,tweet_0030,"RT @MissLesegoS: Nobody will be forced to take the Covid-19 vaccine- President Cyril Ramaphosa. Le seka labhora akere, don't take it and risk dying. 👆🏾",0," misslesegos nobody will be forced to take the covid-19 vaccine- president cyril ramaphosa. le seka labhora akere, don't take it and risk dying. 👆🏾","['  ', 'misslesegos', 'force', 'covid-19', 'vaccine-', 'president', 'cyril', 'ramaphosa', 'le', 'seka', 'labhora', 'akere', 'risk', 'die', '👆', '🏾']",,,,
30,tweet_0031,"@MorganRMuell You know that transwomen are not women and are in fact males who sadly pose the same risks to women as other men, regardless of identity. Of course most transwomen pose no risk but safeguarding women is paramount. Not being a popular opinion does not make it wrong.",0," morganrmuell you know that transwomen are not women and are in fact males who sadly pose the same risks to women as other men, regardless of identity. of course most transwomen pose no risk but safeguarding women is paramount. not being a popular opinion does not make it wrong.","['  ', 'morganrmuell', 'know', 'transwoman', 'woman', 'fact', 'male', 'sadly', 'pose', 'risk', 'woman', 'man', 'regardless', 'identity', 'course', 'transwoman', 'pose', 'risk', 'safeguard', 'woman', 'paramount', 'popular', 'opinion', 'wrong']",,,,
31,tweet_0032,RT @DeadlineDayLive: 📝 DEAL DONE: Hoffenheim have signed Chris Richards on loan from Bayern Munich for the rest of the season. (Source: @tsghoffenheimEN) #DeadlineDay https://t.co/xjeUTux6do,0, deadlinedaylive 📝 deal done hoffenheim have signed chris richards on loan from bayern munich for the rest of the season. (source tsghoffenheimen) deadlineday ,"['  ', 'deadlinedaylive', '📝', 'deal', 'hoffenheim', 'sign', 'chris', 'richards', 'loan', 'bayern', 'munich', 'rest', 'season', 'source', 'tsghoffenheiman', 'deadlineday']",,,,
33,tweet_0034,"@Holaredmen @agw1437 @toryboypierce Teachers do not need to be prioritised. Once the over 50s & vulnerable have been vaccinated, as the government wants, by spring, that is 99% of at risk categories done. Any teachers at risk, will be in those vaccinated.",0," holaredmen agw1437 toryboypierce teachers do not need to be prioritised. once the over 50s & vulnerable have been vaccinated, as the government wants, by spring, that is 99% of at risk categories done. any teachers at risk, will be in those vaccinated.","['  ', 'holaredmen', 'agw1437', 'toryboypierce', 'teacher', 'need', 'prioritise', '50s', 'vulnerable', 'vaccinate', 'government', 'want', 'spring', '99', 'risk', 'category', 'teacher', 'risk', 'vaccinate']",,,,
34,tweet_0035,"Managed to pick away at $AG and $HL today, adding to silver exposure. Tight risk on both and happy to sit tight and see how they play out...",0,"managed to pick away at $ag and $hl today, adding to silver exposure. tight risk on both and happy to sit tight and see how they play out...","['manage', 'pick', 'away', '$', 'ag', '$', 'hl', 'today', 'add', 'silver', 'exposure', 'tight', 'risk', 'happy', 'sit', 'tight', 'play']",,,,
35,tweet_0036,"RT @cresus_ai: adidas AG (#ADS.XETRA) closed at 270.90, score +59, credit rating B",0," cresus_ai adidas ag ( ads.xetra) closed at 270.90, score +59, credit rating b","['  ', 'cresus_ai', 'adida', 'ag', 'ads.xetra', 'close', '270.90', 'score', '+59', 'credit', 'rating', 'b']",,,,
36,tweet_0037,"RT @HughUsa2: #wallstreetbets #gamestop Load up on World Health Energy Holdings (WHEN) stock today! It's gone up to 19/100 of a cent per share so you can buy 1 million for just $1,900 which is the same amount as 5 shares of Gamestop! Better deal! RT! https://t.co/OyzgIrwe8N",0," hughusa2 wallstreetbets gamestop load up on world health energy holdings (when) stock today! it's gone up to 19/100 of a cent per share so you can buy 1 million for just $1,900 which is the same amount as 5 shares of gamestop! better deal! rt! ","['  ', 'hughusa2', 'wallstreetbet', 'gamestop', 'load', 'world', 'health', 'energy', 'holding', 'stock', 'today', 'go', '19/100', 'cent', 'share', 'buy', '1', 'million', '$', '1,900', '5', 'share', 'gamestop', 'well', 'deal', 'rt']",,,,
37,tweet_0038,"RT @Phil_Mattingly: .@PressSec on Biden's view on Covid Relief: His view remains…that the risk is not that it is too big, this package, the risk is that it is too small.",0," phil_mattingly . presssec on biden's view on covid relief his view remains…that the risk is not that it is too big, this package, the risk is that it is too small.","['  ', 'phil_mattingly', 'presssec', 'biden', 'view', 'covid', 'relief', 'view', 'remain', 'risk', 'big', 'package', 'risk', 'small']",,,,
38,tweet_0039,QT @andrea_pecora91: What a load of rubbish dont talk no nonsense pandemic emergency services stretched and you numpties are doing and supporting this we the public think you bonkers and we have no support for u and these people idiots , Unlawful and dangerous eviction is taking place at Euston Sq Gardens right now. HS2 is must be held accountable for putting the life of brave protesters at risk! #StopHS2 #BattleForEuston #HS2 #StopEcocide #HS2Rebellion #EnvironmentalCrimes #Euston #Tunnel #NHSnotHS2 https://t.co/OwgsVevvqZ,0, andrea_pecora91 what a load of rubbish dont talk no nonsense pandemic emergency services stretched and you numpties are doing and supporting this we the public think you bonkers and we have no support for u and these people idiots , unlawful and dangerous eviction is taking place at euston sq gardens right now. hs2 is must be held accountable for putting the life of brave protesters at risk! stophs2 battleforeuston hs2 stopecocide hs2rebellion environmentalcrimes euston tunnel nhsnoths2 ,"['  ', 'andrea_pecora91', 'load', 'rubbish', 'nt', 'talk', 'nonsense', 'pandemic', 'emergency', 'service', 'stretch', 'numptie', 'support', 'public', 'think', 'bonker', 'support', 'u', 'people', 'idiot', 'unlawful', 'dangerous', 'eviction', 'take', 'place', 'euston', 'sq', 'gardens', 'right', 'hs2', 'hold', 'accountable', 'put', 'life', 'brave', 'protester', 'risk', 'stophs2', 'battleforeuston', 'hs2', 'stopecocide', 'hs2rebellion', 'environmentalcrime', 'euston', 'tunnel', 'nhsnoths2']",,
40,tweet_0041,"@peterdaou Pay off my parents’ house, buy one myself, and start a nonprofit focusing on arts education for at-risk & developmentally challenged children.",0," peterdaou pay off my parents’ house, buy one myself, and start a nonprofit focusing on arts education for at-risk & developmentally challenged children.","['  ', 'peterdaou', 'pay', 'parent', 'house', 'buy', 'start', 'nonprofit', 'focusing', 'art', 'education', 'risk', 'developmentally', 'challenge', 'child']",,,,
41,tweet_0042,"RT @MichaelRosenYes: Dear Government What did you actually do in February and early March 2020 to avert, lower of restrict the risk of Covid taking root in the UK? If the answer is nothing, aren't you responsible for me and 1000s more nearly dying, being permanently damaged and 1000s more dying? M.R.",0," michaelrosenyes dear government what did you actually do in february and early march 2020 to avert, lower of restrict the risk of covid taking root in the uk? if the answer is nothing, aren't you responsible for me and 1000s more nearly dying, being permanently damaged and 1000s more dying? m.r.","['  ', 'michaelrosenyes', 'dear', 'government', 'actually', 'february', 'early', 'march', '2020', 'avert', 'low', 'restrict', 'risk', 'covid', 'take', 'root', 'uk', 'answer', 'responsible', '1000', 'nearly', 'die', 'permanently', 'damage', '1000', 'die', 'm.r']",,,,
42,tweet_0043,RT @SpcPlcyOnline: Very interesting online public workshop coming up Thurs-Fri by the Natl Acad Aeronautics and Space Engineering Board on Flying in the COVID-19 Era: Science-based Risk Assessments and Mitigation Strategies on the Ground and in the Air. https://t.co/5isqmOTbNu,0, spcplcyonline very interesting online public workshop coming up thurs-fri by the natl acad aeronautics and space engineering board on flying in the covid-19 era science-based risk assessments and mitigation strategies on the ground and in the air. ,"['  ', 'spcplcyonline', 'interesting', 'online', 'public', 'workshop', 'come', 'thur', 'fri', 'natl', 'acad', 'aeronautics', 'space', 'engineering', 'board', 'fly', 'covid-19', 'era', 'science', 'base', 'risk', 'assessment', 'mitigation', 'strategy', 'ground', 'air']",,,,
43,tweet_0044,"RT @uincedere52: Fenerbahçe's debt was 3,200,000,000 TL in October 2020, today announced that their debt is 4,719,000,000 TL. How can fenerbahçe, who does not make an agreement with the Banks Association, have a limit and transfer with this loan? And how do you allow this? @UEFA #WhereisUEFA",0," uincedere52 fenerbahçe's debt was 3,200,000,000 tl in october 2020, today announced that their debt is 4,719,000,000 tl. how can fenerbahçe, who does not make an agreement with the banks association, have a limit and transfer with this loan? and how do you allow this? uefa whereisuefa","['  ', 'uincedere52', 'fenerbahçe', 'debt', '3,200,000,000', 'tl', 'october', '2020', 'today', 'announce', 'debt', '4,719,000,000', 'tl', 'fenerbahçe', 'agreement', 'bank', 'association', 'limit', 'transfer', 'loan', 'allow', 'uefa', 'whereisuefa']",,,,
